title,duration,image_link,country
С 19-го мая   Форсаж 10 (2023),Продолжительность не указана,/upload/movies/movie_2493/thumb.jpg,"США реж.  Луи Летерье( боевик, криминал, детектив)Рита Морено, Джейсон Стэйтем, Шарлиз Терон, Хелен Миррен, Алан Ричсон, Джейсон Момоа, Бри Ларсон, Мишель Родригес, Вин Дизель, Натали Эммануэль"
С 13-го апреля  Ренфилд,93 мин,/upload/movies/movie_2523/thumb.jpg,"США реж.  Крис МакКей( ужасы, комедия)Николас Холт, Николас Кейдж, Аквафина, Бен Шварц, Шохре Агдашлу, Брэндон Скотт Джонс, Адриан Мартинес, Камилль Чен, Бесс Роус, Дженна Кэнелл"
С 13-го апреля   Air: Большой прыжок,112 мин,/upload/movies/movie_2524/thumb.jpg,"США реж.  Бен Аффлек( драма)Виола Дэвис, Бен Аффлек, Мэтт Дэймон, Джейсон Бейтман, Густаф Скарсгард, Крис Мессина, Крис Такер, Марлон Уайанс, Джессика Грин, Мэттью Мехер"
С 13-го апреля   Бюро магических услуг,117 мин,/upload/movies/movie_2525/thumb.jpg,"Австралия реж.  Джеффри Уокер( фэнтези)Патрик Гибсон, Сэм Нил, Кристоф Вальц, Миранда Отто, Джессика Де Гау, Дэймон Херриман, Мези Этвуд, Рэйчел Хаус, Крис Пэнг, Софи Уайлд"
С 13-апреля   Паранормальные явления. Отель призраков,96 мин,/upload/movies/movie_2526/thumb.jpg,"США реж.  Джеффри Райан( ужасы, комедия)Уилл Мэдден, Джеффри Райан, Мишель Вентимилла, Невилл Арчамбо, Дэниэл Рашид, Саймон Вэл, Чарли Поллок, Мария ДеКотис, Джо Адамс, Уилл Мартин"
"С 13-го апреля   Судзумэ, закрывающая двери",121 мин,/upload/movies/movie_2527/thumb.jpg,"Япония реж.  Макото Синкай( аниме, мультфильм, фэнтези)Нанока Хара, Хокуто Мацумура, Эри Фукацу, Кана Ханадзава, Котонэ Ханасэ, Косиро Мацумото, Саири Ито, Сёта Сомэтани, Рюносукэ Камики, Акари Миура"
Братья Супер Марио в кино 3D,92 мин,/upload/movies/movie_2514/thumb.jpg,"США, Япония реж.  Аарон Хорват, Михаэль Еленик( мультфильм, фантастика, фэнтези, мелодрама, комедия, приключения, семейный)Крис Пратт, Аня Тейлор-Джой, Чарли Дэй, Джек Блэк, Кигэн-Майкл Ки, Сет Роген, Фред Армисен, Себастьян Манискалко, Чарльз Мартине, Кевин Майкл Ричардсон"
АЖАР +16,90 мин,/upload/movies/movie_2508/thumb.jpg,Кыргызстан реж. Курманкулов Нуркамил( драма )
Профессор и призрачный убийца,92 мин,/upload/movies/movie_2519/thumb.jpg,"США реж.  Джордж Галло( триллер)Коул Хаузер, Морган Фриман, Мюриэль Хилейр, Вернон Дэвис, Брайан Курландер, Петер Стормаре, Люк Стратт-МакКлюр, Маюми Роллер, Талия Ассераф, Коуди Леммон"
Игра на выживание +18,87 мин,/upload/movies/movie_2521/thumb.jpg,"США реж.  Элизабет Блейк-Томас( боевик, триллер)Мена Сувари, Каспер Ван Дин, Майя Стоян, Уилл Пельтц, Микки Рурк, Джессика Белкин, Джейсон Лондон, Джереми Лондон, Дэвид Липпер, Кипп Трайббл"
Моё прекрасное несчастье,105 мин,/upload/movies/movie_2522/thumb.jpg,"США реж.  Роджер Камбл( комедия, мелодрама)Дилан Спроус, Вирджиния Гарднер, Остин Норт, Либэ Барер, Нил Бишоп, Микки Дартфорд, Джек Хескет, Деклан Майкл Лэйрд, Тревор Ван Уден, Брайан Остин Грин"
Миссия ассасина  +18,Продолжительность не указана,/upload/movies/movie_2516/thumb.jpg,"США реж.  Джесси Атлас( боевик, триллер, криминал)Брюс Уиллис, Энди Алло, Доминик Пёрселл, Евгения Кузьмина, Мустафа Шакир, Фернанда Андраде, Ханна Куинливан, Ванесса Вандер Плюм, Номзамо Мбата, Андреа Ларео"
Подземелья и драконы: Честь среди воров,134 мин,/upload/movies/movie_2513/thumb.jpg,"США, Канада реж.  Джон Фрэнсис Дейли, Джонатан М. Голдштейн( фэнтези, боевик, комедия)Крис Пайн, Мишель Родригес, Реге-Жан Пейдж, Джастис Смит, София Лиллис, Хью Грант, Хлоя Коулмэн, Дэйзи Хэд, Кайл Хиксон, Спенсер Уайлдинг"
Стражи времени 6+,Продолжительность не указана,/upload/movies/movie_2517/thumb.jpg,"США реж.  Стивен Шимек( боевик, приключения)Саманта Райан, Ава Торрес, Скип Швинк, Кэти Бёрджесс, Натали Дэниелс, Дрю Поллок, Кэтрин Беллантоне, Харпер Хит, Николас Греко, Карли Коулмон"
Сергий против нечисти: Шабаш 18+,92 мин,/upload/movies/movie_2518/thumb.jpg,"Россия реж.  Кирилл Кузин( фэнтези, комедия)Роман Маякин, Лукерья Ильяшенко, Дмитрий Куличков, Ирина Розанова, Игорь Жижикин, Евгений Коряковский, Олег Васильков, Нино Нинидзе, Сергей Степин, Анастасия Акатова"
Приключения аргонавтов,95 мин,/upload/movies/movie_2520/thumb.jpg,"Франция реж.  Давид Ало, Эрик Тости, Жан-Франсуа Тости( мультфильм, фэнтези, комедия, приключения, семейный)Кейси Чейз, Кристоф Лемуан, Эммануэль Кюртиль, Мишель Туро, Пьер Ришар, Франц Конфьак, Жером Паувельс, Барбара Тиссье, Пол Борн, Эммануэль Гарихо"
Джон Уик 4 (+18),169 мин,/upload/movies/movie_2509/thumb.jpg,"США реж.  Чад Стахелски( боевик, триллер, криминал)Киану Ривз, Донни Йен, Билл Скарсгард, Лоренс Фишбёрн, Хироюки Санада, Шамир Андерсон, Лэнс Реддик, Рина Саваяма, Скотт Эдкинс, Иэн Макшейн"
Моя фея проказница (+0),80 мин,/upload/movies/movie_2510/thumb.jpg,"Люксембург, Германия   реж.  Каролин Оригер( мультфильм, фэнтези, комедия, приключения, семейный)Йелла Хаазе, Лиза-Мари Королл, Алекс Авенелл, Юлиан Мау, Джон Чедвик, Лукиан Русари, Таммо Каулбарш, Стефан Бенсон, Тим Гробе, Марион Фон Штенгель"
Дети кукурузы (+18),93 мин,/upload/movies/movie_2511/thumb.jpg,"США реж.  Курт Уиммер( ужасы)Елена Кампурис, Кейт Мойер, Каллэн Мулвей, Брюс Спенс, Себастьян Аланис Альварес, Алила Браун, Коннор Бурк, Айзек Бёрк, Миранда Кэш, Трей Дэниелс"
Дитя тьмы: Экзорцизм,97 мин,/upload/movies/movie_2512/thumb.jpg,"Мексика, Перу реж.  Мишель Гарса Сервера( ужасы, драма)Наталия Солан, Альфонсо Досаль, Майра Баталья, Соня Коу, Саманта Кастильо, Пабло Гиса Кёстингер, Аида Лопес, Марта Клаудия Морено, Мерседес Эрнандес, Энок Леаньо"
